Region,Latitude,Longitude,CO2_level,Water_temperature,Chemical_contamination
Southern Ocean,77.78129084705023,77.87641970256561,357.3081562027015,15.968756278543633,0.8214342163620464
Arctic Ocean,11.723973046057608,-154.0496390404776,412.2343264617246,3.0979502662514524,3.915807154618486
Indian Ocean,35.3971482978406,-154.34757800450691,448.11778367622946,5.175716308390862,0.6124893098299461
Arctic Ocean,76.04988861191322,-175.6409489154405,369.0107649783728,17.039228919482415,3.174533295765814
Arctic Ocean,37.302954176411745,164.34050338781282,429.2595116288383,8.89072840539865,0.6192301335290873
Atlantic Ocean,-62.54297227543296,85.5030094052425,440.78987937796194,28.14947185953948,0.3526781879647828
Indian Ocean,13.731904830026366,-52.82949293925691,444.3701592820221,24.562206884521522,4.547147518429383
Indian Ocean,19.208708348914058,-73.24719073644413,446.0135604405447,29.50701619540989,0.9506438315935284
Indian Ocean,-13.656479165570516,-54.10683729149416,402.1459638721472,7.79012516851242,4.106250772798521
Arctic Ocean,42.55996241245012,98.87527122522545,447.7307907991504,29.09170898393931,2.723154355535679
Southern Ocean,78.18606265842268,58.093419985349186,425.73102071344385,12.937016093746736,0.389282598043848
Indian Ocean,76.60233232321974,-113.32959556771155,366.1671436236962,10.42556385941264,4.777240957190338
Arctic Ocean,-8.848913147256226,-117.32063927972963,397.690010646797,1.5104858090805973,1.2348058349594626
Atlantic Ocean,-69.61715174866406,-144.57756610317696,421.8331175372004,1.5829577357880786,4.2982267267630325
Southern Ocean,87.27141581322022,57.70897909248174,374.7340315819083,20.76033767839964,0.8440500289228209
Atlantic Ocean,61.00165556026815,95.17415839982493,414.06151835488873,13.737869833020838,4.269714410709264
Southern Ocean,-67.56071738341197,-84.58328580299855,416.66004790466195,6.795648781083171,0.06614406452646993
Arctic Ocean,75.75153887112702,-172.4598140288714,366.2699743808566,18.41910918975698,2.5589022828474035
Pacific Ocean,66.5813451711831,-150.41819970848616,406.5085312452756,7.585743547503335,3.847212897107784
Southern Ocean,3.3908502826929805,168.42961254421095,427.1626910978608,17.32895263033268,4.6739775874639164
Atlantic Ocean,16.42957843408726,-73.63988010812871,399.88956645359417,10.77626240948071,4.546010681032435
Arctic Ocean,-18.179513303376552,96.92033322172813,351.2103116776107,24.706566798354572,4.098124347738224
Southern Ocean,-80.14290501203436,44.87888478753496,350.9038469079292,24.62088482300338,4.440956748306521
Pacific Ocean,-29.664496503737837,-42.50172972495747,385.70293439700123,14.32051194367204,0.9960984291853825
Pacific Ocean,54.51362074764205,-105.95258560960016,442.6194068431782,10.524573280050468,1.4209214785586437
Indian Ocean,-89.16623585917148,-136.30088946261367,372.8676779603609,10.876793896772837,1.4448426246052926
Indian Ocean,-29.970149095594046,41.40466849399198,413.4363688871687,24.171435770046536,1.8852696550084942
Atlantic Ocean,-18.329635153630207,98.8681610296037,372.2075870693321,9.84538448392836,1.9666033519259436
Southern Ocean,6.731208528826116,51.80553127480704,382.16699896595486,6.271781211205381,2.7227766232733774
Southern Ocean,75.57401095429688,10.908767969696981,434.8042089601484,2.540650256259205,0.7993988168322069
Indian Ocean,-27.657721014126977,-164.89755956461096,422.8861442269947,14.000793626532252,3.4562333189299466
Southern Ocean,-27.548423658679013,168.65595993397818,359.5399277313211,14.463962967595256,0.8378326965225324
Southern Ocean,42.75022465975471,107.53710899564686,392.87020209864335,25.227261312087215,1.5515424105227376
Pacific Ocean,-8.600770639834707,-74.58406678765269,352.9169763645264,6.637160893381919,2.51672565303077
Indian Ocean,-49.57113187080325,172.7893185691862,398.0890146603009,11.429738210051998,3.9822028076173863
Arctic Ocean,-8.560887096115195,36.67737226907596,416.24340117010684,24.252172166810727,3.697346166193636
Indian Ocean,-64.64573633163603,29.672156954608738,361.85026235981513,24.708708322469207,3.227671782052611
Arctic Ocean,-58.250342428879804,89.30634459463158,378.88849389091655,11.538332279363047,0.7788663029008508
Pacific Ocean,-0.2938009068936509,112.23712371244955,389.7836625502157,13.773720698600426,2.7352267280778886
Atlantic Ocean,-14.593419089181381,56.33229863934096,441.95310246560496,9.098576725478488,0.4372325089994272
Southern Ocean,74.67226219225802,-133.885531308168,449.3255015422964,27.976646352579362,1.8868158839832538
Pacific Ocean,-24.769098159006035,-58.22369784198058,354.4911298995616,3.559312972247409,2.0675826514497957
Southern Ocean,14.50590305004782,154.1101105173779,426.10079234953923,28.012482690044102,0.19905719722876913
Atlantic Ocean,23.807571825515467,-99.13837973621331,387.1724066402343,20.515993555060298,1.3699404973498592
Atlantic Ocean,-87.64299781409994,-46.0198714184952,389.245818622948,15.947164580601935,4.778247336332447
